"Samsung Galaxy Note Fan Edition Phone","^Galaxy Note Fan Edition$"
"Samsung Galaxy Note10 5G Phone","^Galaxy Note10 5G$"
"Samsung Galaxy Note8 Phone","^Galaxy Note8$"
"Samsung Galaxy Quantum3 Phone","^Galaxy Quantum3$"
"Samsung Galaxy S10 Phone","^Galaxy S10$"
"Samsung Galaxy S10 5G Phone","^Galaxy S10 5G$"
"Samsung Galaxy S10e Phone","^Galaxy S10e$"
"Samsung Galaxy S21 5G Phone","^Galaxy S21 5G$"
"Samsung Galaxy S21 FE 5G Phone","^Galaxy S21 FE 5G$"
"Samsung Galaxy S22 Ultra Phone","^Galaxy S22 Ultra$"
"Samsung Galaxy S6 Phone","^Galaxy S6$"
"Samsung Galaxy S8 Phone","^Galaxy S8$"
"Samsung Galaxy S9 Phone","^Galaxy S9$"
"Samsung Galaxy S9+ Phone","^Galaxy S9\\+$"
"Samsung Galaxy Tab Advanced2 Tablet","^Galaxy Tab Advanced2$"
"Samsung Galaxy Tab E 32GB Tablet","^Galaxy Tab E 32GB$"
"Samsung Galaxy Watch5","^Galaxy Watch5$"
"Samsung Galaxy Watch5 Pro","^Galaxy Watch5 Pro$"
"Samsung Galaxy Wide3","^Galaxy Wide3$"
"Samsung Galaxy Wide4","^Galaxy Wide4$"
"Samsung Galaxy SmartTag (confirmed by UUID16)","^Smart Tag$"
"Fitbit Ace","^Ace(| 2| 3| 4| Lite)$"
"Fitbit Alta","^Alta(| 2| 3| 4| Lite)$"
"Fitbit Blaze","^Blaze(| 2| 3| 4| Lite)$"
"Fitbit Charge","^Charge(| 2| 3| 4| Lite)$"
"Fitbit Flex","^Flex(| 2| 3| 4| Lite)$"
"Fitbit Inspire","^Inspire(| HR| 3| 4| Lite)$"
"Fitbit Inspire 2 with Tile tracking (according to GATT and https://support.thetileapp.com/hc/en-us/articles/1500002374602-Tile-Fitbit)","^Inspire 2$"
"Fitbit Zip","^Zip(| 2| 3| 4| Lite)$"
"Fitbit Luxe","^Luxe(| 2| 3| 4| Lite)$"
"Fitbit Sense","^Sense(| 2| 3| 4| Lite)$"
"Fitbit Versa","^Versa(| 2| 3| 4| Lite)$"
"Fitbit One","^One(| 2| 3| 4| Lite)$"
"Fitbit Ionic","^Ionic(| 2| 3| 4| Lite)$"
"Tile device tracker (https://tile.com)","^Tile$"
"Skullcandy Venue ANC Headphones with Tile tracking (based on https://support.skullcandy.com/hc/en-us/articles/360008276534-Venue-Noise-Canceling-Wireless (no GATT confirmation yet))","^Venue-Tile$"
"Innway tracking card (https://www.amazon.com/Innway-Card-Rechargeable-Bluetooth-Backpack/dp/B07MYZWM3B)","^Innway Card$"
"OnAsset Sentinel 100 logistics tracking device (https://intelsius.com/services/logger-integration/onasset/)","^OnAsset Sentinel 100$"
"FIXD Car Bluetooth-to-ODBII Adapter (https://www.fixd.com/)","^FIXD$"
"Nonda ODBII-to-BT car monitor","^OBDBLE$"
"Nonda ODBII-to-BT car monitor (https://www.nonda.co/products/smart-vehicle-health-monitor-mini (Nonda based on UUID16)","^OBDBLE$"
"Nonda ODBII-to-BT car monitor (https://www.nonda.co/products/smart-vehicle-health-monitor-mini)","^Zus$"
"Voltas IT ODBII-to-BT car monitor (https://obdeleven.com/en/home/187-stand-alone-0758277987851.html)","^OBDeleven 2$"
"Unknown brand (could be white-label), but highly likely ODBII-to-BT car monitor (sometimes "ZUS Smart Vehicle Health Monitor Lite" per https://nonda.zendesk.com/hc/en-us/articles/360052449552-How-to-look-for-the-device-in-the-Bluetooth-settings-)","^OBDII$"
"OBD Solutions, LLC. ODBII-to-BT car monitor (https://www.obdlink.com/products/obdlink-cx/)","^OBDLink CX$"
"Escort Redline 360c radar detector","^ESCORT REDLINE 360c$"
"Cobra RAD 480i radar detector","^RAD 480i$"
"Cobra SC 100 dash cam (https://www.cobra.com/products/sc100)","^SC 100$"
"Cobra SC 200 dash cam (https://www.cobra.com/products/sc200)","^SC 200$"
"Cobra SC 201 dash cam (https://www.cobra.com/products/sc201)","^SC 201$"
"Cobra SC 400 dash cam (https://www.cobra.com/products/sc400)","^SC 400$"
"Seos access-control system (https://www.hidglobal.com/product-mix/seos)","^Seos$"
"Nest camera (model unknown)","^Nest Cam$"
"Samsung Refrigerator","^\\\[Refrigerator\\\] Samsung$"
"Oral-B Toothbrush","^Oral-B Toothbrush$"
"Amazon (based on BT CID) unknown device. Most likely a Ring camera","^rnet$"
"Pokemon GO Plus (https://www.amazon.com/Nintendo-Pokemon-Go-Plus-Android-iOS/dp/B01H482N6E)","^Pokemon GO Plus"
"'Segway Ninebot ZK601LE is an loT device for shared scooter management' (https://flespi.com/devices/segway-ninebot-zk601le)","^Segway IoT$"
"Disney theme park BLE location beacons","^DSNYMBLE$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved","^LE-reserved$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_1","^LE-reserved_1$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_B","^LE-reserved_B$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_C","^LE-reserved_C$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_D","^LE-reserved_D$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_E","^LE-reserved_E$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_F","^LE-reserved_F$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_G","^LE-reserved_G$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_H","^LE-reserved_H$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_I","^LE-reserved_I$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_j","^LE-reserved_j$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_K","^LE-reserved_K$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_L","^LE-reserved_L$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_M","^LE-reserved_M$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_N","^LE-reserved_N$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_O","^LE-reserved_O$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_P","^LE-reserved_P$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_Q","^LE-reserved_Q$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_S","^LE-reserved_S$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_T","^LE-reserved_T$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_U","^LE-reserved_U$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_V","^LE-reserved_V$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_W","^LE-reserved_W$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_X","^LE-reserved_X$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_Y","^LE-reserved_Y$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_Z","^LE-reserved_Z$"
"OPPO Reno7 Z 5G cell phone (https://www.oppo.com/en/smartphones/series-reno/reno7-z-5g/specs/)","^OPPO Reno7 Z 5G$"
"Bushnell Wingman (v1) speaker remote (https://www.playbetter.com/products/bushnell-wingman-golf-gps-speaker, https://www.amazon.com/Bushnell-Wingman-Speaker-Replacement-Bluetooth/dp/B09X267FQ9)","^Wingman Rem$"
"Bushnell Wingman (v1) speaker remote (https://www.playbetter.com/products/bushnell-wingman-golf-gps-speaker, https://www.amazon.com/Bushnell-Wingman-Speaker-Replacement-Bluetooth/dp/B09X267FQ9)","^Wingman Remote$"
